Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
AmbientContaminationMetrics,Python,10.1101/2022.10.25.513758,NA,0,https://github.com/Ken-Lau-Lab/AmbientContaminationMetrics,"Quantification of scRNA-seq raw data quality",'-,"Quality Control"
anchor,Python,10.1016/j.molcel.2017.06.003,2017-07,142,https://github.com/yeolab/anchor,"Find bimodal, unimodal, and multimodal features in your data",BSD-3-Clause,Modality
anticor_features,Python,10.1101/2022.12.05.519161,NA,1,https://bitbucket.org/scottyler892/anticor_features,"Anti-correlated genes as a method of feature selection",AGPL-3.0,"Variable Genes"
APL,R/Python,"10.1016/j.jmb.2022.167525, 10.1101/2020.10.23.352096","2022-03, NA",6,https://github.com/VingronLab/APL,"APL is a package developed for computation of Association Plots, a method for visualization and analysis of single cell transcriptomics data",GPL-3.0,"Gene Sets, Marker Genes, Visualisation"
ASAP,R/Python,"10.1093/bioinformatics/btx337, 10.1093/nar/gkaa412, 10.1101/096222","2017-05-24, 2020-05-25, NA",109,https://github.com/DeplanckeLab/ASAP,"ASAP : Automated Single-cell Analysis Pipeline",CC-BY-4.0,"Clustering, Differential Expression, Gene Filtering, Interactive, Normalisation, Visualisation"
Asc-Seurat,R,"10.1101/2021.03.19.436196, 10.1186/s12859-021-04472-2","NA, 2021-11-18",20,https://github.com/KirstLab/asc_seurat,"Analytical single-cell Seurat-based web application",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Interactive, Ordering, Quality Control, Visualisation"
ascend,R,"10.1093/gigascience/giz087, 10.1101/207704","2019-08-24, NA",42,https://github.com/powellgenomicslab/ascend,"Analysis of Single Cell Expresssion Normalisation and Differential Expression",GPL-3.0,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Visualisation"
ASTK,Python/R,10.1101/2023.01.03.522470,NA,0,https://github.com/huang-sh/astk,"ASTK is a command-line software for comprehensive alternative splicing analysis",BSD-3-Clause,"Alternative Splicing, Gene Sets"
ASURAT,R,"10.1093/bioinformatics/btac541, 10.1101/2021.06.09.447731","2022-08-04, NA",1,https://github.com/keita-iida/ASURAT,"ASURAT is a single-cell RNA sequencing (scRNA-seq) data analysis pipeline, developed for simultaneously clustering cells and biological interpretation",GPL-3.0,"Clustering, Gene Sets, Visualisation"
ATAXIC,R,10.1155/2022/4106736,2022-08-31,0,https://github.com/XS-Wang-Lab/ATAXIC,"An algorithm to quantify transcriptomic perturbation heterogeneity in single cancer cells.",'-,Perturbations
AUCell,R,"10.1038/nmeth.4463, 10.1101/144501","2017-10-09, NA",2505,https://github.com/aertslab/AUCell,"AUCell is an R-package to analyze the state of gene-sets in single-cell RNA-seq data (i.e. identify cells with active gene signatures).",Custom,"Gene Networks, Interactive, Visualisation"
Augur,R,"10.1038/s41587-020-0605-1, 10.1038/s41596-021-00561-x, 10.1101/2019.12.20.884916","2020-07-20, 2021-06-25, NA",87,https://github.com/neurorestore/Augur,"Augur is an R package to prioritize cell types involved in the response to an experimental perturbation within high-dimensional single-cell data.",MIT,"Dimensionality Reduction, Perturbations, Simulation, Variable Genes, Visualisation"
AutoClass,Python,"10.1038/s41467-022-29576-y, 10.1101/2020.12.04.412247","2022-04-07, NA",12,https://github.com/datapplab/AutoClass,"AutoClass is a neural network-based tool for scRNA-Seq data imputation",GPL-3.0,"Classification, Imputation"
AutoImpute,Python/R,10.1038/s41598-018-34688-x,2018-11-05,115,https://github.com/divyanshu-talwar/AutoImpute,"AutoImpute: Autoencoder based imputation of single cell RNA-seq data",MIT,"Imputation, Normalisation, Variable Genes"
AutomaticCellTypeIdentification,R,10.1016/j.csbj.2021.10.027,2021-10,22,https://github.com/xiebb123456/AutomaticCellTypeIdentification,"AutomaticCellTypeIdentification is a wrapper of published automatic cell type identification methods which contains supervised methods, unsupervised methods and semi-supervised methods",GPL-2.0-or-later,Classification
AWGAN,Python,"10.1093/bioinformatics/btac427, 10.1101/2021.11.08.467781","2022-06-30, NA",2,https://github.com/HelloWorldLTY/AWGAN,"A Powerful Batch Effect Removal Model for scRNA-seq Data",MIT,Integration
BABEL,Python,"10.1073/pnas.2023070118, 10.1101/2020.11.09.375550","2021-04-07, NA",46,https://github.com/wukevin/babel,"BABEL is a deep learning model designed to translate between mutliple single cell modalities",'-,Integration
BackSPIN,Python,10.1126/science.aaa1934,2015-02-19,2423,https://github.com/linnarsson-lab/BackSPIN,"Biclustering algorithm developed taking into account intrinsic features of single-cell RNA-seq experiments.",BSD-2-Clause,"Clustering, Gene Filtering"
badger,R,,,'-,https://github.com/JEFworks/badger,"Bayesian approach for detecting copy number alterations from single cell RNA-seq data",'-,"Variants, Visualisation"
BALDR,Perl,10.1186/s13073-018-0528-3,2018-03-20,50,https://github.com/BosingerLab/BALDR,"BALDR is a pipeline for reconstructing human or rhesus macaque immunoglobulin(Ig)/B cell receptor(BCR) sequences from single cell RNA-Seq data generated by Illumina sequencing.",MIT,"Alignment, Assembly, Immune"
BAMMSC,R/C++,"10.1038/s41467-019-09639-3, 10.1101/392662","2019-04-09, NA",44,https://github.com/CHPGenetics/BAMMSC,"A Bayesian mixture model for clustering droplet-based single cell transcriptomic data from population studies",GPL-2.0-or-later,"Clustering, Integration"
BarCounter,C,10.1186/s12859-022-04620-2,2022-03-27,1,https://github.com/AllenInstitute/BarCounter-release,"BarCounter is a tool designed to process Next-Generation Sequencing data and count the number of Unique Molecular Identifiers (UMIs) for each specified Hash Tag Oligo (HTO) or Antibody Derived Tag (ADT) for each cell barcode specified in a user provided barcode whitelist",Custom,Quantification
baredSC,Python,"10.1101/2021.05.26.445740, 10.1186/s12859-021-04507-8","NA, 2022-01-12",6,https://github.com/lldelisle/baredSC,"baredSC (Bayesian Approach to Retreive Expression Distribution of Single Cell) is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data",GPL-3.0,"Quantification, Visualisation"
BarMixer,R,10.1186/s12859-022-04620-2,2022-03-27,1,https://github.com/AllenInstitute/BarMixer,"Barcode-based demultiplexing of hashed scRNA-seq datasets",Custom,"Quality Control, Visualisation"
BASIC,Python,10.1093/bioinformatics/btw631,2016-10-02,72,http://ttic.uchicago.edu/~aakhan/BASIC/,"BASIC is a semi-de novo assembly method to determine the full-length sequence of the BCR in single B cells from scRNA-seq data.",MIT,"Assembly, Immune"
BASiCS,R,"10.1016/j.cels.2018.06.011, 10.1101/035949, 10.1101/237214, 10.1186/s13059-016-0930-3, 10.12688/f1000research.74416.1, 10.1371/journal.pcbi.1004333","2018-09, NA, NA, 2016-04-15, 2022-01-18, 2015-06-24",384,https://github.com/catavallejos/BASiCS,"Bayesian Analysis of single-cell RNA-seq data. Estimates cell-specific normalization constants. Technical variability is quantified based on spike-in genes. The total variability of the expression counts is decomposed into technical and biological components.",GPL-2.0-or-later,"Differential Expression, Normalisation, Simulation, Variable Genes"
BASiCStan,R/Stan/C++,,,'-,https://github.com/Alanocallaghan/BASiCStan,"Provides an interface to infer the parameters of BASiCS using Stan inference engines",GPL-3.0,Normalisation
BasisVAE,Python,arxiv/2003.03462,NA,0,https://github.com/kasparmartens/BasisVAE,"BasisVAE: Translation-invariant feature-level clustering with Variational Autoencoders",MIT,Clustering
BatchBench,Nextflow,"10.1093/nar/gkab004, 10.1101/2020.05.22.111211","2021-02-01, NA",44,https://github.com/cellgeni/batchbench,"BatchBench is a Nextflow workflow for running and comparing scRNA-seq batch effect correction methods",MIT,"Integration, Quality Control, Visualisation"
batchelor,R,"10.1038/nbt.4091, 10.1101/165118","2018-04-02, NA",1389,https://github.com/LTLA/batchelor,"Implements a variety of methods for batch correction of single-cell (RNA sequencing) data.",GPL-3.0,Integration
BATMAN,python,"10.1016/j.isci.2020.101185, 10.1101/2020.01.22.915629","2020-06, NA",5,https://github.com/mandricigor/batman,"BATMAN is a novel tool for batch effect correction (integration) of single-cell RNA-Seq datasets.",'-,Integration
BayesEATS,R/C++,10.1007/s12561-021-09308-4,2021-04-12,1,https://github.com/jingeyu/BayesEATS,"The R package BayesEATS implements the method BEATS that integrates scRNA-seq data and bulk ST data to simultaneously cluster cells, partition spatial spots into different regions, and estimate cellular enrichments of spots in the Bayesian framework",GPL-2.0-or-later,"Clustering, Integration"
BayesPrism,R,"10.1038/s43018-022-00356-3, 10.1101/2020.01.07.897900","2022-04, NA",76,https://github.com/Danko-Lab/TED,"Bayesian cell Proportion Reconstruction Inferred using Statistical Marginalization (BayesPrism): A Fully Bayesian Inference of Tumor Microenvironment composition and gene expression",GPL-2.0-or-later,"Dimensionality Reduction, Integration"
bayNorm,R/C++,"10.1093/bioinformatics/btz726, 10.1101/384586","2019-10-04, NA",53,https://github.com/WT215/bayNorm,"bayNorm provides an efficient, integrated solution for global scaling normalisation, imputation and true count recovery of gene expression measurements from scRNA-seq data",GPL-2.0-or-later,"Imputation, Normalisation, Simulation"
bbknn,Python,"10.1093/bioinformatics/btz625, 10.1101/397042","2019-08-10, NA",357,https://github.com/Teichlab/bbknn,"BBKNN is a fast and intuitive batch effect removal tool for direct use in the scanpy workflow.",MIT,"Integration, Visualisation"
BC_tSNE,R/C,10.1093/bioinformatics/btaa189,2020-03-16,10,https://github.com/emanuelealiverti/BC_tSNE,"Projected t-SNE for Batch Correction",GPL-3.0,"Dimensionality Reduction, Integration"
bcbio,Python,,,'-,https://github.com/bcbio/bcbio-nextgen,"A python toolkit providing best-practice pipelines for fully automated high throughput sequencing analysis.",MIT,"Alignment, Quality Control, UMIs"
bcbioSingleCell,R,,,'-,https://github.com/hbc/bcbioSingleCell,"R package for bcbio single-cell RNA-seq analysis",AGPL-3.0,"Quality Control, UMIs, Visualisation"
BCseq,C,10.1093/nar/gky308,2018-04-30,23,http://www-rcf.usc.edu/~liangche/software.html,"BCseq: accurate single cell RNA-seq quantification with bias correction",'-,Quantification
BDA,R,"10.1093/nargab/lqab118, 10.1101/2021.02.01.429187","2021-10-04, NA",6,https://github.com/gbouland/BDA,"Differential analysis of binarized single-cell RNA sequencing data captures biological variation",GPL-3.0,"Differential Expression"
BEANIE,Python,10.1101/2021.10.22.465130,NA,0,https://github.com/sjohri20/beanie,"BEANIE is a python package for differential enrichment analysis in single cell RNA-seq data",GPL-2.0,"Gene Sets, Visualisation"
BEARscc,R,"10.1038/s41467-018-03608-y, 10.1101/118919","2018-03-22, NA",14,https://bitbucket.org/bsblabludwig/bearscc,"BEARscc is a noise estimation and injection tool that is designed to assess putative single-cell RNA-seq clusters in the context of experimental noise estimated by ERCC spike-in controls.",GPL-3.0,"Clustering, Simulation"
BEELINE,Python/Docker,"10.1038/s41592-019-0690-6, 10.1101/642926","2020-01-06, NA",345,https://github.com/murali-group/Beeline,"BEELINE: Benchmarking gEnE reguLatory network Inference from siNgle-cEll transcriptomic data",GPL-3.0,"Gene Networks"
BEENE,Python,10.1093/bioinformatics/btad479,2023-08-10,0,https://github.com/ashiq24/BEENE,"BEENE (Batch Effect Estimation using Non-linear Embeddings) is a deep learning-based technique for estimating batch effects in RNA-seq data",MIT,"Dimensionality Reduction, Integration"
BEER,R,10.1038/s41421-019-0114-x,2019-09-24,28,https://github.com/jumphone/BEER,"BEER: Batch EffEct Remover for single-cell data",MIT,Integration
BENISSE,Python/R,10.1038/s42256-022-00492-6,2022-06-02,4,https://github.com/wooyongc/Benisse,"Benisse (BCR embedding graphical network informed by scRNA-Seq) provides a powerful tool for analyzing B cell receptors (BCRs) guided by single cell gene expression of the B cells",MIT,"Dimensionality Reduction, Immune, Visualisation"
BERMUDA,Python/R,"10.1101/641191, 10.1186/s13059-019-1764-6","NA, 2019-08-12",88,https://github.com/txWang/BERMUDA,"A novel transfer-learning-based method for batch-effect correction in single cell RNA sequencing (scRNA-seq) data",MIT,Integration
BESCA,Python,"10.1093/nargab/lqab102, 10.1101/2020.08.11.245795","2021-10-04, NA",8,https://github.com/bedapub/besca,"The BESCA (BEDA’s single cell sequencing analysis) package contains many useful python functions to use for your single-cell analysis",GPL-3.0,"Classification, Clustering, Differential Expression, Gene Filtering, Gene Sets, Integration, Normalisation, Quality Control, Visualisation"
Beyondcell,R,"10.1101/2021.04.08.438954, 10.1186/s13073-021-01001-x","NA, 2021-12",13,https://gitlab.com/bu_cnio/beyondcell,"Beyondcell is a computational methodology for identifying tumour cell subpopulations with distinct drug responses in single-cell RNA-seq data and proposing cancer-specific treatments",GPL-2.0,"Cell Cycle, Clustering, Dimensionality Reduction, Gene Sets, Perturbations, Visualisation"
Bfimpute,R,"10.1016/j.crmeth.2021.100133, 10.1101/2021.02.10.430649, 10.2139/ssrn.3867727","2021-12, NA, 2021",4,https://github.com/maiziezhoulab/Bfimpute,"Bfimpute is a powerful imputation tool for scRNA-seq data that recovers the dropout event by factorizing the count matrix into the product of gene-specific and cell-specific feature matrices",'-,Imputation
bigSCale,MATLAB,"10.1101/197244, 10.1101/gr.230771.117","NA, 2018-05-03",69,https://github.com/dfajar2/bigSCale,"bigSCale is an analytical framework scalable to analyze millions of cells",'-,"Clustering, Differential Expression, Marker Genes, Normalisation, Visualisation"
bigSCale2,R/C++,"10.1101/197244, 10.1101/446104, 10.1101/gr.230771.117, 10.1186/s13059-019-1713-4","NA, NA, 2018-05-03, 2019-06-04",226,https://github.com/iaconogi/bigSCale2,"bigSCale is a complete framework for the analysis and visualization of single cell data. It allows  cluster, phenotype, perform pseudotime analysis, infer gene regulatory networks and reduce large datasets in smaller datasets with higher quality.",GPL-2.0-or-later,"Classification, Clustering, Dimensionality Reduction, Gene Networks, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
bindSC,R,"10.1101/2020.12.11.422014, 10.1186/s13059-022-02679-x","NA, 2022-05-09",28,https://github.com/KChen-lab/bindSC,"Bi-dimensional INtegration of multi-omics Data from Single Cell sequencing technologies",GPL-3.0,"Clustering, Integration, Visualisation"
BingleSeq,R,"10.1101/2020.06.16.148239, 10.7717/peerj.10469","NA, 2020-12-22",7,https://github.com/dbdimitrov/BingleSeq,"A user-friendly R package for Bulk and Single-cell RNA-Seq data analyses",MIT,"Clustering, Differential Expression, Gene Sets, Interactive, Normalisation, Quality Control, Visualisation"
biolord,Python,10.1101/2023.03.05.531195,NA,0,https://github.com/nitzanlab/biolord,"A deep generative framework for disentangling known and unknown attributes in single-cell data",BSD-3-Clause,"Dimensionality Reduction, Integration"
Biomodelling,Julia,"10.1101/2021.10.13.464275, 10.1186/s12859-022-04778-9","NA, 2022-06-17",3,https://github.com/ayoublasri/Biomodelling.jl,"Framework for stochastic modelling in systems biology",'-,Simulation
BioTIP,R,"10.1093/nar/gkac452, 10.1101/668442","2022-05-30, NA",6,https://github.com/xyang2uchicago/BioTIP,"BioTIP: an R-package for Characterization of Biological Tipping Points",GPL-2.0,"Expression Patterns, Gene Networks, Visualisation"
BIRD,C++/R,"10.1038/s41467-017-01188-x, 10.1093/nar/gkz716, 10.1101/035808, 10.1101/035816","2017-10-19, 2019-08-20, NA, NA",48,https://github.com/WeiqiangZhou/BIRD,"BIRD: Big data Regression for predicting DNase I hypersensitivity",'-,Integration
BISCUIT,R,10.18547/gcb.2017.vol3.iss1.e46,2017-01-26,38,https://github.com/sandhya212/BISCUIT_SingleCell_IMM_ICML_2016,"Bayesian Inference for Single-cell Clustering and ImpuTing",'-,"Clustering, Imputation"
Bisque,R,"10.1038/s41467-020-15816-6, 10.1101/669911","2020-04-24, NA",149,https://github.com/cozygene/bisque,"An R toolkit for accurate and efficient estimation of cell composition ('decomposition') from bulk expression data with single-cell information.",GPL-3.0,"Integration, Marker Genes, Simulation"
BITFAM,R,10.1101/gr.265595.120,2021-06-30,5,https://github.com/jaleesr/BITFAM,"Bayesian Inference Transcription Factor Activity model (BITFAM) is based on a fundamental biological principle that the differences in scRNA-seq profiles of individual cells reflect distinct underlying transcription factor activity states",'-,"Gene Networks, Normalisation, Variable Genes"
BLGGM,R/C++,,,'-,https://github.com/WgitU/BLGGM,"BLGGM is a Bayesian latent mixture Gaussian graphical model to obtain cell-type-specific gene regulatory networks from heterogeneous and zero-inflated single-cell expression data",GPL-2.0-or-later,"Clustering, Gene Networks"
bollito,Snakemake,10.1093/bioinformatics/btab758,2021-11-12,5,https://gitlab.com/bu_cnio/bollito,"bollito is a Snakemake pipeline that performs a comprehensive single-cell RNA-seq analysis, covering both the basic steps (QC, alignment, quantification and cell specific QC) and more advanced downstream analyses (clustering, diferential expresion, trajectory inference, functional analysis and RNA velocity)",MIT,"Alignment, Clustering, Differential Expression, Dimensionality Reduction, Normalisation, Ordering, Quality Control, Quantification, Visualisation"
bonvoyage,Python,10.1016/j.molcel.2017.06.003,2017-07,142,https://github.com/yeolab/bonvoyage,"Transform percentage-based units into a 2d space to evaluate changes in distribution with both magnitude and direction.",BSD-3-Clause,Transformation
BPSC,R,10.1093/bioinformatics/btw202,2016-04-19,121,https://github.com/nghiavtr/BPSC,"Beta-Poisson model for single-cell RNA-seq data analyses",GPL-3.0,"Differential Expression"
BraCeR,Python/R,"10.1038/s41592-018-0082-3, 10.1101/185504","2018-07-31, NA",74,https://github.com/teichlab/bracer,"BraCeR - reconstruction of B cell receptor sequences from single-cell RNA-seq data.",Apache-2.0,"Alignment, Assembly, Immune, Quantification, Visualisation"
BranchedGP,Python,"10.1101/166868, 10.1186/s13059-018-1440-2","NA, 2018-05-29",25,https://github.com/ManchesterBioinference/BranchedGP,"BranchedGP is a package for building Branching Gaussian process models in python, using TensorFlow and GPFlow.",Apache-2.0,"Expression Patterns, Visualisation"
BRAPeS,Python,"10.1101/389999, 10.26508/lsa.201900371","NA, 2019-08-26",9,https://github.com/YosefLab/BRAPeS,"BRAPeS (BCR Reconstruction Algorithm for Paired-End Single-cell), software for reconstruction of B cell receptors (BCR) using short, paired-end single-cell RNA-sequencing.",Custom,"Alignment, Immune"
BREM-SC,R,"10.1093/nar/gkaa314, 10.1101/2020.01.18.911461","2020-05-07, NA",46,https://github.com/tarot0410/BREMSC,"BREMSC is an R package (with core functions jointDIMMSC and BREMSC) for joint clustering droplet-based scRNA-seq and CITE-seq data. jointDIMMSC is developed as a direct extension of DIMMSC, which assumes full indenpendency between single cell RNA and surface protein data. To take the correlation between two data sources into consideration, we further develop BREMSC, which uses random effects to incorporate the two data sources. This package can directly work on raw count data from droplet-based scRNA-seq and CITE-seq experiments without any data transformation, and it can provide clustering uncertainty for each cell.",'-,"Clustering, Integration"
BRIE,Python,"10.1101/098517, 10.1101/2020.11.04.368019, 10.1186/s13059-017-1248-5, 10.1186/s13059-021-02461-5","NA, NA, 2017-06-27, 2021-08-27",96,https://github.com/huangyh09/brie,"BRIE (Bayesian regression for isoform estimate) is a Bayesian method to estimate isoform proportions from RNA-seq data.",Apache-2.0,"Alternative Splicing, Quantification"
BSDE,R,"10.1093/bioinformatics/btac171, 10.1101/2021.05.10.443350","2022-03-25, NA",3,https://github.com/mqzhanglab/BSDE,"Barycenter Single-cell RNAseq Differential Expression analysis for case-control studies",MIT,"Differential Expression"
bseqsc,R,10.1016/j.cels.2016.08.011,2016-10,950,https://github.com/shenorrLab/bseqsc,"BSeq-sc is a bioinformatics analysis pipeline that leverages single-cell sequencing data to estimate cell type proportion and cell type-specific gene expression differences from RNA-seq data from bulk tissue samples.",GPL-2.0-or-later,"Differential Expression, Integration, Visualisation"
BTR,R,10.1186/s12859-016-1235-y,2016-09-06,47,https://github.com/cheeyeelim/btr,"BTR is a model learning algorithm for reconstructing and training asynchronous Boolean models using single-cell expression data.",GPL-3.0,"Gene Networks, Visualisation"
BUSseq,R/C++,"10.1038/s41467-020-16905-2, 10.1101/533372","2020-07-01, NA",16,https://github.com/songfd2018/BUSseq,"The BUSseq R package implements the BUSseq model to adjust single-cell RNA-sequencing data for batch effects when there are unknown cell types.",GPL-2.0-or-later,"Clustering, Imputation, Integration, Marker Genes, Visualisation"
bustools,C++,"10.1038/s41587-021-00870-2, 10.1093/bioinformatics/btz279, 10.1101/472571, 10.1101/673285","2021-04-01, 2019-05-09, NA, NA",381,https://github.com/BUStools/bustools,"bustools is a program for manipulating BUS files for single cell RNA-Seq datasets",BSD-2-Clause,"Quantification, UMIs"
BZINB,R/C++,"10.1101/2020.03.06.977728, 10.1177/09622802231172028","NA, 2023-05-11",4,https://github.com/Hunyong/BZINB,"Provides a maximum likelihood estimation of Bivariate Zero-Inflated Negative Binomial (BZINB) model or the nested model parameters.",GPL-2.0,Simulation
CAbiNet,R/C++/Python,10.1101/2022.12.20.521232,NA,0,https://github.com/VingronLab/CAbiNet,"Correspondence Analysis based Biclustering on Networks",GPL-3.0-or-later,"Clustering, Dimensionality Reduction, Visualisation"
CACTUS,R,"10.1101/2020.06.05.134452, 10.1186/s13073-021-00842-w","NA, 2021-03-24",1,https://github.com/LUMC/CACTUS,"Clonal Architecture of genomic Clustering of TUmor Single cells",'-,Variants
CAISC,R,10.1186/s12859-022-04625-x,2022-03-21,0,https://github.com/lizamathews/CAISC,"CAISC, which stands for Clonal Architecture with Integration of SNV and CNV, is a software that integrates copy number variation and single nucleotide mutations for genetic heterogeneity profiling and subclone detection by single-cell RNA sequencing",'-,"Clustering, Integration, Variants, Visualisation"
CALISTA,MATLAB/R,"10.1101/2020.04.23.056069, 10.1101/257550, 10.12688/f1000research.131861.1, 10.3389/fbioe.2020.00018","NA, NA, 2023-04-20, 2020-02-04",19,https://github.com/CABSEL/CALISTA,"CALISTA provides a user-friendly toolbox for the analysis of single cell expression data.",BSD-3-Clause,"Clustering, Normalisation, Ordering, Visualisation"
CAMLU,R,"10.1093/bioinformatics/btac617, 10.1101/2021.09.25.461825","2022-09-09, NA",2,https://github.com/ziyili20/CAMLU,"CAMLU is an R package that provides an autoencoder based method for annotating cell types from scRNA-seq data",GPL-2.0,Classification
CancerInSilico,R/C++,"10.1101/328807, 10.1371/journal.pcbi.1006935","NA, 2019-04-19",3,https://github.com/FertigLab/CancerInSilico,"The CancerInSilico package provides an R interface for running mathematical models of tumor progresson.",GPL-2.0,"Cell Cycle, Gene Networks, Interactive, Simulation, Visualisation"
Canek,R,"10.1093/nargab/lqac022, 10.1101/2021.05.05.442380","2022-01-13, NA",5,https://github.com/MartinLoza/Canek,"The goal of Canek is to correct batch effect from single cell transcriptomics",MIT,Integration
CanSig,Python,10.1101/2022.04.14.488324,NA,2,https://github.com/BoevaLab/CanSig,"Discovering de novo shared transcriptional programs in single cancer cells",BSD-3-Clause,"Clustering, Gene Sets, Integration, Variants, Visualisation"
CAPITAL,Python,"10.1038/s41467-022-33681-3, 10.1101/859751","2022-10-14, NA",5,https://github.com/ykat0/capital,"CAPITAL, a method for comparing pseudotime trajectories with tree alignment whereby trajectories including branching can be compared without any knowledge of paths to be compared.",BSD-3-Clause,"Dimensionality Reduction, Expression Patterns, Ordering, Quality Control, Variable Genes, Visualisation"
